#ID	分类	Icon路径	<size=20>Line headings</size>	<size=20>Line item explanatory text</size>
h60206	602	Battle2/Img_unitconrol_trick.png	<size=20>False Move</size>	<size=20>When virtual move is activated, it will randomly attach negative status to the hit unit.</size>
h60301	603		<size=20>Reduced Benefit Status</size>	<size=20>The side effects are the side effects from the opponent's side effects or some of the drugs used in battle. The effect will reduce the player's ability, unable to move, etc., you can take the corresponding medicine or food to relieve or mitigate it.</size>
h60302	603	Battle2/Img_buffer_Injured.png	<size=20>Internal Injuries</size>	<size=20>Every time you perform a move, you lose qi and blood, the higher the value, the better the effect.</size>
h60303	603	Battle2/Img_buffer_Wounded.png	<size=20>Trauma</size>	<size=20>Blood loss per turn, the higher the value, the better the effect.</size>
h60304	603	Battle2/Img_buffer_Poisoned.png	<size=20>Poisoning</size>	<size=20>Each round, the character loses internal energy, which also reduces the character's attack and damage reduction. The energy that can be replied to by the Roundup.</size>
h60305	603	Battle2/Img_buffer_Sealed.png	<size=20>Closing Cave.</size>	<size=20>Decreases the amount of energy that can be restored per turn, the higher the value the more significant the effect.</size>
h60306	603	Battle2/Img_buffer_Confused.png	<size=20>Confusion</size>	<size=20>Decrease damage reduction ability, can't unload if 50 points are exceeded.</size>
h60307	603	Battle2/Img_buffer_Dazed.png	<size=20>Daze</size>	<size=20>There is a chance that it will skip the combat round, the higher the value, the easier it is to launch, and if it exceeds 50 points, it will not be able to launch counterattack.</size>
h60308	603	Battle2/Img_buffer_Cramped.png	<size=20>Split Tendon</size>	<size=20>Reduce the character's movement power, if it exceeds 50 points, it will not be able to launch a combo.</size>
h60309	603	Battle2/Img_buffer_Sprained.png	<size=20>Wrong Bone</size>	<size=20>Reduce character's attack power, can't attack if it exceeds 50 points.</size>
h60310	603	Battle2/Img_buffer_frozen.png	<size=20>Freeze</size>	<size=20>Decreases the character's Light Work, Internal Strength and the amount of energy they recover each round.</size>
h60401	604		<size=20>Distance display</size>	<size=20>Press Alt to turn on/off the display of the mouse distance to each unit.</size>
h60402	604		<size=20>Combat Information Card</size>	<size=20>Tap on the upper left avatar to open it and get detailed information about the combat unit.</size>
h60403	604		<size=20>Character Avatars</size>	<size=20>The character's avatar, which will display various positive, negative, title effects, skill effects and battlefield mechanics. Status.</size>
h60404	604		<size=20>Character Base Information</size>	<size=20>Displays the character's blood, internal strength, and the amount of energy the character can recover per round.</size>
h60405	604		<size=20>Character's basic martial arts value</size>	<size=20>Displays the character's martial arts values, the more capable the enemy is, the more resistant they are to that type of attack.</size>
h60406	604		<size=20>Talent Area</size>	<size=20>If the character has that ICON, then that ICON will light up.</size>
h60407	604		<size=20>Equipment Zone</size>	<size=20>Click on it to find out the equipment and power that the character is wearing.</size>
h60408	604		<size=20>Martial Arts Skills</size>	<size=20>The martial arts skills that the character possesses.</size>
h60409	604		<size=20>Stunt Value Accumulation.</size>	<size=20>The accumulated values of each skill can let the player know when the opponent is about to make a move.</size>
h70101	701	Blacksmith/Img_Forged_forging.png	<size=20>Forge</size>	<size=20>Blacksmiths in the villages can assist players in crafting weapons and equipment, and the weapons and equipment crafted will be more expensive than those sold by merchants. Some of the blueprints and recipes for forging may need to be obtained through quests, or may need to be fought in the field. Blacksmiths will only be willing to help players build if they cultivate friendliness.</size>
h70102	701	TeamInventory/Btn_bag_06.png	<size=20>Forging Materials</size>	<size=20>Forging different weapons or defensive equipment requires different amounts of materials, the rarer the material, the better, Some materials are not easy to obtain, so you will need to consider them before forging.</size>
h70103	701	Blacksmith/Img_Forged_02.png	<size=20>Rarity</size>	<size=20>If the player provides very rare materials, the rarity of weapons and equipment will be increased. You can mix and match different materials to create smoother weapons and tougher equipment.</size>
h70104	701	Blacksmith/Img_Forged_03.png	<size=20>Shinobi</size>	<size=20>When crafting certain weapons or defensive equipment, the player may be able to craft a rare weapon if special materials are provided.</size>
h70105	701	Main/Img_Main_Money.png	<size=20>Forging Cost</size>	<size=20>In addition to consuming forging materials, the blacksmith will also charge the player a forging fee, and the rarer the forging material, the more expensive it is. The cost of higher materials will also increase.</size>
h70106	701	Main/Img_Main_Money.png	<size=20>Preferences</size>	<size=20>The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.</size>
h70201	702	Blacksmith/Img_Forged_02.png	<size=20>Hardening.</size>	<size=20>Blacksmiths in the villages can assist the player in hardening their weapons and inlaying them with forge items obtained from the player, You can make your weapon more powerful by setting up different objects in the pitcher.</size>
h70202	702	Blacksmith/Img_Forged_form.png	<size=20>Hardening Holes</size>	<size=20>Not all weapons can be quenched, but only those with quench holes in them, forged to be quenched. There is a higher chance that a weapon will come out with a quenching hole, and the luckier player may be able to create a weapon with two holes.</size>
h70203	702	Alchemy/Img_PoisonEffect.png	<size=20>Hardening Effect</size>	<size=20>A weapon that has been hardened may have special effects attached to it, if the added effects are similar to those of the weapon. The damage and benefits that may result from the trait will grow significantly.</size>
h70204	702	Blacksmith/Img_Forged_02.png	<size=20>Repeat Hardening</size>	<size=20>Hardened and inlaid weapons cannot be removed, but can be used with other forge objects. Harden repeatedly, replacing additional special effects.</size>
h70205	702	Main/Img_Main_Money.png	<size=20>Hardening costs</size>	<size=20>Hardening will not only cost the player a cauldron item, but the blacksmith will also charge the player a hardening fee, which will increase with rarity. The higher the pitcher, the higher the cost.</size>
h70206	702	Main/Img_Main_Money.png	<size=20>Preferences</size>	<size=20>The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.</size>
h70301	703	Blacksmith/Img_Forged_fix.png	<size=20>Repair</size>	<size=20>Blacksmiths in villages can assist players in repairing worn weapons. The capacity of the machine cannot be fully utilized and must be repaired to restore it.</size>
h70302	703	Main/Img_Main_Money.png	<size=20>Cost of repairs</size>	<size=20>The Blacksmith will charge the player for repairs, and the higher the rarity of the weapon or weapon, the higher the cost of repair. .</size>
h70303	703	Main/Img_Main_Money.png	<size=20>Preferences</size>	<size=20>The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.</size>
h70401	704	Blacksmith/Img_Forged_Decompose.png	<size=20>Disassembly</size>	<size=20>Blacksmiths in the villages can assist players in dismantling unwanted weapons and defense equipment. While selling equipment, you may want to consider handing it over to a blacksmith for dismantling.</size>
h70402	704	TeamInventory/Btn_bag_06.png	<size=20>Return of materials</size>	<size=20>Items are disassembled and can return a small amount of material, different weapons and equipment, the return of the forging material and quantity also! Not the same.</size>
h70403	704	Main/Img_Main_Money.png	<size=20>Cost of dismantling</size>	<size=20>The Blacksmith will charge players a fee to disassemble weapons and equipment, the higher the rarity of the weapons and defense equipment, the more expensive it is. Will follow to improve.</size>
h70404	704	Main/Img_Main_Money.png	<size=20>Preferences</size>	<size=20>The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.</size>
h70501	705	Blacksmith/Img_Forged_Reforge.png	<size=20>Heavy Forging</size>	<size=20>Forging is the modification of special weapons, not all weapons can be forged, players can find villages The blacksmiths in the forging process will assist, but only if the appropriate materials are provided.</size>
h70502	705	Blacksmith/Img_Forged_Reforge.png	<size=20>Re-forging method</size>	<size=20>Reforging can be done with special weaponry, and the player can choose between high damage, high effect or average growth, You can create more distinctive weapons by using different re-forging methods.</size>
h70503	705	Blacksmith/Img_Reforge_HurtUp.png	<size=20>Damage is paramount.</size>	<size=20>If you prefer high output, you can choose this method to increase the damage of your weapons.</size>
h70504	705	Blacksmith/Img_Reforge_BuffUp.png	<size=20>Effectiveness first</size>	<size=20>The effect-oriented re-forging method focuses on the special effect of the weapon, which makes the battle more effective than the high damage. Diversity.</size>
h70505	705	Blacksmith/Img_Reforge_AverageUp.png	<size=20>average growth</size>	<size=20>The average growth of the Forge method is a more balanced growth method that takes into account both damage and special effects.</size>
h70506	705	Main/Img_Main_Money.png	<size=20>Heavy Forging Cost</size>	<size=20>There is no monetary cost for re-forging, but there is a corresponding material requirement for different weapons and different methods of re-forging. The material varies.</size>
h80101	801	Blacksmith/Img_Forged_01.png	<size=20>Boxing gloves</size>	<size=20>Gloves are melee weapons, equipped with gloves can make fist martial arts more powerful.</size>
h80102	801	Blacksmith/Img_Forged_02.png	<size=20>Sword</size>	<size=20>Sword is a melee weapon, you can perform martial arts moves related to swordsmanship by equipping a sword, and you can also use it if you hold two swords. Unique dual sword skills.</size>
h80103	801	Blacksmith/Img_Forged_03.png	<size=20>Knife</size>	<size=20>Knives are melee weapons, so you can perform martial arts moves related to swordplay with them. Unique dual blade skill.</size>
h80104	801	Blacksmith/Img_Forged_04.png	<size=20>Spear</size>	<size=20>Spears/Sticks are long-handled melee weapons, with a slight advantage in attack range over other melee weapons, Equipping a spear/stick allows you to perform spear/stick related martial arts moves.</size>
h80105	801	Blacksmith/Img_Forged_06.png	<size=20>Hidden Weapon.</size>	<size=20>Hidden Weapon is a long-range weapon, and can be used to attack enemies at medium to long range, but can be used against enemies who are close to you. Comparatively rudderless.</size>
h80106	801	Blacksmith/Img_Forged_06.png	<size=20>Bow.</size>	<size=20>The bow is a long-range weapon, you can use it to perform archery martial arts, but it's useless against enemies who are close to you.</size>
h80107	801	Blacksmith/Img_Forged_05.png	<size=20>Short Arms</size>	<size=20>Daggers are melee weapons, and light daggers do as much damage as any other weapon.</size>
h80108	801	TeamInventory/Btn_bag_02.png	<size=20>Special Weapons</size>	<size=20>In the open world, players can also acquire various other weapons, such as pipes, fishing rods, whips and so on.</size>
h80201	802	TeamInventory/Btn_bag_18.png	<size=20>Armor</size>	<size=20>Equipment that provides the character with damage reduction and special effects in battle.</size>
h80202	802	TeamInventory/Btn_bag_19.png	<size=20>Accessories</size>	<size=20>Adornments that bring a variety of special effects.</size>
h80203	802	TeamInventory/Btn_bag_20.png	<size=20>Outer garments</size>	<size=20>Special costumes that can change the appearance of the main character, some of the costumes of the corresponding camp can trigger special events or effects.</size>
h80301	803	TeamInventory/Btn_bag_10.png	<size=20>Pills</size>	<size=20>Various medicines that can be used to restore the player's condition in the game, in addition to those that can be obtained after battle or during quests. You can also make these pills after some medical books, but they require basic herbs.</size>
h80302	803	TeamInventory/Btn_bag_11.png	<size=20>Medicinal Herbs</size>	<size=20>Basic herbs can be obtained in quests, battles and field collection, and direct use also has a slight healing effect.</size>
h80303	803	TeamInventory/Btn_bag_12.png	<size=20>Food</size>	<size=20>Foodstuffs that can provide players with various advantages in the game, in addition to those obtained after battle or during quests, learning After certain recipes, you can also make your own food, consuming the basic ingredients, and each teammate has his or her own favorite. Food for them to eat will bring more fun and events.</size>
h80304	803	TeamInventory/Btn_bag_13.png	<size=20>Ingredients</size>	<size=20>In quests, battles, and field gathering, you can obtain basic ingredients for cooking, and you can also use the same ingredients as the Some merchants purchase them.</size>
h80401	804	TeamInventory/Btn_bag_14.png	<size=20>Vipers.</size>	<size=20>can be used as a base for poisoning, but catching them before learning the relative skills will make the Himself attacked by a poisonous wound.</size>
h80402	804	TeamInventory/Btn_bag_05.png	<size=20>Poison.</size>	<size=20>Products obtained by refining the Poisonous Insects, cannot be used directly, but may be needed for some evil martial arts. Use these things.</size>
h80501	805	TeamInventory/Btn_bag_15.png	<size=20>Forging Materials - Minerals</size>	<size=20>Common forge material in mountainsides and caves, and occasionally rare in mysterious or inaccessible places. Precious Ore.</size>
h80502	805	TeamInventory/Btn_bag_15.png	<size=20>Forging Materials - Wood</size>	<size=20>Forging materials that can be collected in the wild, or bought from woodcutters.</size>
h80503	805	TeamInventory/Btn_bag_17.png	<size=20>Forging Materials - Leather</size>	<size=20>The materials that can be obtained by defeating beast type enemies can also be purchased from fur shop owners.</size>
h80504	805	TeamInventory/Btn_bag_17.png	<size=20>Forging Materials - Silk</size>	<size=20>An extremely valuable forging material, mostly only available from treasure chests or event quests.</size>
h80505	805	TeamInventory/Btn_bag_17.png	<size=20>Forging Material - Tendons</size>	<size=20>Precious materials that can be obtained by defeating beast-type enemies.</size>
h80506	805	TeamInventory/Btn_bag_16.png	<size=20>Hardening materials</size>	<size=20>Precious goods that can attach special effects to weapons with the number of hardening holes.</size>
h80601	806	TeamInventory/Btn_bag_21.png	<size=20>Quest Items</size>	<size=20>Items needed for the mission to proceed.</size>
h80602	806	TeamInventory/Btn_bag_22.png	<size=20>Groceries.</size>	<size=20>A variety of items that the player acquires while playing the game. Stuff.</size>
