#Main界面	
#Mod模块	
#SkillTip	
#UI	
#UI系列	
#交易	
#交易接口	
#任务	
#休息界面	
#传言	
#传送界面	
#传闻	
#修理界面	
#共享	
#创角界面	
#区域	
#后面有留空格键是要做排版	
#地图接口(任务接口)	
#天赋接口(感悟接口)	
#存读档	
#异常状态TIP	
#感悟	
#成就界面	
#战斗	
#战斗界面	
#战斗讯息	
#战斗跳的讯息	
#技能界面(武学)	
#拆解界面	
#按键TIP	
#按键提示对应	
#接口名称	
#方位条界面	
#淬炼界面	
#游戏提示	
#游戏难度	
#炼金接口(生产接口)	
#热键设定接口	
#熔炼界面	
#环境设定接口	
#画面提示	
#称号界面	
#系统接口	
#结局 02	
#结局 03	
#结局 04	
#结局 05	
#结局 06	
#结局 07	
#结局 08	
#结局 09	
#结局 10	
#结局 11	
#结局 12	
#结局 13	
#结局 14	
#结局 15	
#结局 16	
#结局 17	
#结局 18	
#结局 19	
#结局 20	
#结局 21	
#结局 22	
#结局 23	
#结局 24	
#结局00	
#结局01	
#自宫	
#范围选择	
#说明分类	
#追踪的任务接口	
#重锻界面	
#锻造	
#锻造界面	
#队伍	
#队伍接口(物品接口)	
#阴阳	
#阵营单位	
AchievementMode0	Single game system
GameHint16	If you get stuck in a different place, press ESC twice to switch the main menu and see what happens.
GameHint17	Counterattacking doesn't consume energy, but it does consume more internal energy.
GameHint18	If you don't have enough power during a battle, it will be much less powerful.
GameHint19	Press Alt key to show the distance between the target and the cursor during the battle, easy to determine the location when moving.
GameHint2	When you are exploring in the field, press V to help you find ores or herbs quickly.
GameHint20	Changes in character will affect the interaction between teammates, and may change the willingness of teammates to go on adventures together.
GameHint21	Press and hold the F key when you are close to an NPC, you can secretly get items from them, but you have to be careful not to be found.
GameHint22	When exploring the wilderness, always be prepared for battle and be aware of the enemy's strength.
GameHint23	Forge with materials of higher rarity to create better weapons and defense equipment.
GameHint24	There are many things to explore in the world of Heluo, so keep an eye out for interactive items around you.
GameHint25	Learn cooking skills to cook ingredients and make delicious food, which can be eaten to gain temporary benefits. .
GameHint26	You can choose whether to use the "view auto-follow mouse" mode to play the game according to your gaming habits in the Operation tab of the environment settings.
GameHint3	When in battle, click on the upper left avatar to open the character's battle information interface, you can learn more about the character's details. .
GameHint4	During battle, click on the upper left avatar to hear the character's voice and open the character's combat message interface. For more detailed information about the character, press the Alt key to display the distance between the target and the cursor.
GameHint5	Tasks are divided into three levels of difficulty: easy (white), normal (orange), and difficult (red). You will be able to perform missions with your own abilities.
GameHint6	Characters can equip one primary weapon and one secondary weapon, using the features of each weapon to gain an advantage in battle.
GameHint7	Each character can equip a different loadout, exceeding the maximum loadout will reduce the character's mobility.
GameHint8	Some quests will have a hint of where you are on the map, making it easier to identify your location.
GameHint9	You can choose to use either the mini-map or the location bar in your settings, depending on your preferences or habits, for location assistance.
GetExp	{0} Gain {1}Exp points
Hardness	Hardness
HearsayAreaUnit	of
HearsayNoneArea	Jianghu
HelpCatalogType1	Game Description
HelpCatalogType101	method of operation
HelpCatalogType102	Game Time
HelpCatalogType103	Interaction
HelpCatalogType104	Facilitation functions
HelpCatalogType105	Teammate.
HelpCatalogType106	Transactions
HelpCatalogType107	Achievements
HelpCatalogType108	Formulation
HelpCatalogType109	Game difficulty
HelpCatalogType110	Rumours of the Jianghu River
HelpCatalogType2	Roles
HelpCatalogType201	General Attributes
HelpCatalogType202	Martial Attributes
HelpCatalogType203	Negative Attributes
HelpCatalogType204	Equipment
HelpCatalogType205	Designation
HelpCatalogType3	Martial Arts
HelpCatalogType301	Martial Arts Descriptions
HelpCatalogType302	Secrets
HelpCatalogType303	Type of skill
HelpCatalogType304	Skill Information
HelpCatalogType4	Talent
HelpCatalogType401	Description of Talents
HelpCatalogType402	Classification of Talents
HelpCatalogType5	Mission map
HelpCatalogType501	Map
HelpCatalogType502	Mission
HelpCatalogType503	Transmission
HelpCatalogType504	Positioning aid
HelpCatalogType6	Combat
HelpCatalogType601	Combat Instructions
HelpCatalogType602	Stunt Value
HelpCatalogType603	Derogatory status
HelpCatalogType604	Combat Aid
HelpCatalogType7	Forging System
HelpCatalogType701	Forge
HelpCatalogType702	Enchanting
HelpCatalogType703	Repair
HelpCatalogType704	Disassembly
HelpCatalogType705	Upgrading
HelpCatalogType8	Props
HelpCatalogType801	Weapons
HelpCatalogType802	Defence equipment
HelpCatalogType803	Pills and Food
HelpCatalogType804	Poison
HelpCatalogType805	Forging/Hardening Materials
HelpCatalogType806	Other items
HintTypeAchievement	Achieved Achievement {0}
HintTypeAchievementStart	Discoved Hidden Achievement {0}
HintTypeAreaFriendlyDown	Your friendship with {0} has decreased
HintTypeAreaFriendlyUp	Your friendship with {0} has increased
HintTypeExp	{0} {1} Exp
HintTypeFallAndDie	You fell and died.
HintTypeFallAndHurt	Your fall from a high place reduced your health by {0}
HintTypeFoodBufferDisappeared	The {1} effect of {0} has disappeared.
HintTypeInventory	{0} {1} Item
HintTypeLearnCook	Acquired {0} Recipes
HintTypeLearnDrug	Acquired {0} Prescriptions
HintTypeLearnForge	Acquired {0} Blueprint
HintTypeLevelUp	{0} Leveled Up
HintTypeMadnessDown	You're more reserved than ever.
HintTypeMadnessUp	You've become more wildly uninhibited.
HintTypeMoney	{0} {1} Money
HintTypeMoralDown	You have become even more evil.
HintTypeMoralUp	You have become more righteous.
HintTypeNicknameUnlocked	Gained Title {0}
HintTypePropertyDown	Your {0} decreased
HintTypePropertyUp	Your {0} increased
HintTypeStealAnimal	Unable to lay hands on the beast
HintTypeStealInventoryNull	There is nothing.
HintTypeStealProbabilityZero	This person is guarding their wallet securely.
HintTypeStealTodayDontSteal	You cannot steal from this person anymore today
HintTypeStealTooFar	Target too far away.
HintTypeTeamFull	Your team is full.
HintTypeTeammateFriendly	Teammate friendliness has increased
HintTypeTeammmateJoin	{0} Joined the team
HintTypeTeammmateLeave	{0} Left the team
HintTypeYinAndYangDown	You have cultivated more yin.
HintTypeYinAndYangUp	You have cultivated more yang.
Hurt	Damage
Hurt0	Damage Reduction
Hurt1	Fist Damage
Hurt10	Sword damage
Hurt11	Bow and arrow damage
Hurt2	Sword Damage
Hurt3	Blade Damage
Hurt4	Spear Damage
Hurt5	Hidden Weapon Damage
Hurt6	Short damage
Hurt7	Other injuries
Hurt8	Double Sword Damage
Hurt9	Double Blade Damage
HurtRang	{0}~{1}%
Interactive02	Talk
Interactive03	Take
Interactive04	Mine
Interactive05	Pick
Interactive06	Catch
Interactive07	<color=#ff2222>Steal</color>
Interactive08	<color=#ff2222>Attack</color>
Interactive09	Inspect
Interactive10	Hunt
Interactive11	<color=#ff2222>Ambush</color>
Interactive12	Hunt
InventoryDialogText	Identify to use
InventoryDialogText2	To practice {0}?
InventoryDialogTitle	Use Item
InventoryDialogTitle2	Equip Secret Book
InventoryLevel	Rarity
InventoryLevel0	Common
InventoryLevel1	Rare
InventoryLevel2	Excellent
InventoryLevel3	Extraordinary
InventoryLevel5	Special
InventoryTip	Smear on the weapon.
InventoryTip0	Cannot be used directly
InventoryTip2	Can only be used in combat
InventoryTip98	Can't practice this secret book because it has a limited target!
InventoryTip99	Limited equipment.
InventoryType1	Weapons
InventoryType1001	Pill Food
InventoryType1002	Collecting Items
InventoryType1003	Other
InventoryType1004	Equipment
InventoryType2	Armor
InventoryType3	Martial Arts Secrets
InventoryType301	Fist Arts
InventoryType302	Sword Arts
InventoryType303	Blade Arts
InventoryType304	Spear Arts
InventoryType305	Hidden Weapon Arts
InventoryType306	Short Arts
InventoryType307	Qi Arts
InventoryType308	Qinggong Arts
InventoryType309	Medical Arts
InventoryType310	Poison Arts
InventoryType318	Other
InventoryType4	Pills
InventoryType5	Poison
InventoryType6	Food
InventoryType7	Forging Materials
InventoryType701	Ores
InventoryType702	Timber
InventoryType703	Casting Furnace
InventoryType704	Leather
InventoryType705	Silk
InventoryType706	Tendons
InventoryType707	Gunpowder
InventoryType708	Black Blood Spider Venom
InventoryType709	Soul-Shattering Centipede Venom
InventoryType710	Pit viper venom
InventoryType711	Fierce Scorpion Venom
InventoryType8	Miscellaneous
IsRemoteMod	Remote
KeepTurn	Lasts {0} Rounds
KeyDesc_Achievement	Achievement Interface
KeyDesc_AddSpeed	Sprint
KeyDesc_Alchemy	Recipe interface
KeyDesc_Ambush	Fight
KeyDesc_Arrow	Directional movement
KeyDesc_AutoRun	Automatic running
KeyDesc_BattleRest	Combat Break
KeyDesc_BattleWaiting	Battle Awaits
KeyDesc_Cancel	Cancel
KeyDesc_Confrim	Confirm
KeyDesc_Down	Down/move
KeyDesc_DpadDown	Down arrow key
KeyDesc_DpadLeft	left arrow key
KeyDesc_DpadRight	right arrow key
KeyDesc_DpadUp	up arrow key
KeyDesc_Jump	Jumping
KeyDesc_LB	Left/Switch tabs
KeyDesc_LBRB	Switch tabs
KeyDesc_Left	left/move
KeyDesc_LeftAnalogPress	Left analog joystick
KeyDesc_LT	zoom in/close in
KeyDesc_Main	Information page
KeyDesc_Map	Mission Interface
KeyDesc_MouseLeft	Identify/select
KeyDesc_MouseMiddle	Adjust near/near/scroll up/down
KeyDesc_MouseRight	Cancel
KeyDesc_NumberArrow	Block Switching
KeyDesc_NumberDown	Down/Switch Blocks
KeyDesc_NumberLeft	Left/Switching Blocks
KeyDesc_NumberRight	Right/Switch Block
KeyDesc_NumberUp	Up/Switching Blocks
KeyDesc_OpenInventory	Combat backpack enabled
KeyDesc_OpenLearnedSkill	Enable Combat Skills
KeyDesc_RB	Right/Switch tabs
KeyDesc_Right	right/move
KeyDesc_RightAnalogPress	Resetting the camera
KeyDesc_RT	Zoom in/out
KeyDesc_SaveGame	Auto-saving
KeyDesc_ScreenShot	Capture Screen
KeyDesc_ShowCursor	Display Mouse
KeyDesc_ShowHerb	Display collection
KeyDesc_Skill	Martial Arts Interface
KeyDesc_SkillShortcut1	Skill Shortcut 1
KeyDesc_SkillShortcut2	Skill Shortcut 2
KeyDesc_SkillShortcut3	Skill Shortcut 3
KeyDesc_SkillShortcut4	Skill Shortcut 4
KeyDesc_SkillShortcut5	Skill Shortcut 5
KeyDesc_SkillShortcut6	Skill Shortcut 6
KeyDesc_Steal	Steal
KeyDesc_System	System Menu
KeyDesc_Talent	Talent Interface
KeyDesc_Team	Item interface
KeyDesc_Up	up/move
KeyDesc_X	Kick teammate
KeyDesc_Y	Sort your backpack.
KeyName_Alpha0	0
KeyName_Alpha1	1
KeyName_Alpha2	2
KeyName_Alpha3	3
KeyName_Alpha4	4
KeyName_Alpha5	5
KeyName_Alpha6	6
KeyName_Alpha7	7
KeyName_Alpha8	8
KeyName_Alpha9	9
KeyName_Arrow	↑/↓/←/→
KeyName_BackQuote	~
KeyName_Backslash	\
KeyName_Comma	,
KeyName_DownArrow	↓
KeyName_Equals	=
KeyName_Escape	ESC
KeyName_JoystickButton0	A
KeyName_JoystickButton1	B
KeyName_JoystickButton2	X
KeyName_JoystickButton3	Y
KeyName_JoystickButton4	LB
KeyName_JoystickButton5	RB
KeyName_LBRB	< / >
KeyName_LeftAnalogPress	Left analog joystick
KeyName_LeftArrow	←
KeyName_LeftBracket	[
KeyName_LeftControl	LeftCtrl
KeyName_Minus	-
KeyName_NumberArrow	Numeric Keypad Orientation
KeyName_Period	.
KeyName_Quote	'
KeyName_RightAnalogPress	Right analog joystick
KeyName_RightArrow	→
KeyName_RightBracket	]
KeyName_RightControl	RightCtrl
KeyName_Semicolon	;
KeyName_Slash	/
KeyName_UpArrow	↑
LevelLabel	level
Load	Load
LoadFile	Do you want to Load {0}?
Loading	Loading
LoadingCreateEventCube	Playing the sword and making a song
LoadingCreateNpc	Looking out over the red world
LoadingCreatePlayer	Youth crossing the sky
LoadingCreateScene	Letter Walk Mountain River
LoadingEndState	The flower path has never been swept by a guest, and the door is now open for you.
LoadWhenModDifferent	The module {0} used to save the disk is different from the current module {1}!
Message	Messages
Method0	Added
Method1	Removed
MinorWeapon	(Secondary)
ModApply	Copy from another source
ModApplyCheck	Do you want to apply a {0} module?
ModUpdating	Updating in progress...
ModUpload	Upload Module
ModUploadCheck	Do you want to upload a {0} module?
ModUploadFailure	Upload failed
ModUploadFinish	Upload complete
ModUploading	Module {0} Uploading...
MsgAddDueTo	{0} due to {1} decrease {2} {3}
MsgAddProp	{0} {1} Increase {2}
MsgAPNotEnough	Insufficient Energy
MsgBeginBattle	Battle {0} Begin.
MsgBeginTurn	Start of {0} Round
MsgBeginUnit	{0} Commence action.
MsgCounterAttack	{0} Use {1} Counterattack
MsgCounterAttackFail	Counterattack failed.
MsgCounterAttackNotFound	{0} No Counterattack Skills
MsgCurrentProperty	{0} Present {1}:{2}
MsgEndBattle	Combat {0} End.
MsgEndTurn	End of {0} Round
MsgEndUnit	{0} End of operation
MsgGainDebuffDueToTrick	{0} Because the trick, receives a random negative status.
MsgGainProperty	{0} Gets status value {1} : {2}
MsgHaveNot	{0} None {1}
MsgLaunch	{0}
MsgMPNotEnough	Insufficient MP
MsgPleaseSelectAvaliableTarget	Please select a valid target.
MsgRaiseComboAttack	{0} Initiate combo, +{1} AP
MsgReceiveCriticalDamage	{0} dealt {2} point critical damage to {1}.
MsgReceiveDamage	{0} {2} points of damage to {1}.
MsgReceiveHeal	{0} Caused {2} point healing to {1}
MsgReduceDueTo	{0} due to {1} decrease {2} {3}
MsgResetCounterAttack	{0} Counterattack to zero.
MsgResetRelease	{0} Released Power to Zero
MsgSubProp	{0} {1} Decrease {2}
MsgTargetTooFar	Distance {0} Too far.
MsgUnavaliableBlinkPosition	Unable to flash near this target
MsgUnitDead	{0} Death.
MsgUnitDeadDueToInjured	{0} Death from internal injuries
MsgUnitDodge	{0} Dodged this attack
MsgUseSkill	{0} Used the {1} skill.
NoBook	Not yet selected.
NoEquip	No equipment
NoFile	No progress stored
None	None
OK	OK
Or	Or
OverwriteFile	Does it overwrite this save game?
PetRemoved	Round limit reached
QuestDescTitle	Mission description
QuestEventType000	Mission begins
QuestEventType001	Abandonment of mission
QuestEventType002	Mission accomplished
QuestEventType003	Mission failed
QuestEventType004	Mission update
QuestStep	Task Steps
rate	Rate
RectangleSelector	Rectangle
ReforgeType0	Injury First
ReforgeType1	Effectiveness first
ReforgeType2	Average growth
Release	Release
ReleaseEffect	Damage reduction {0} % when releasing power.
RemoveTeammate	Did you want to remove your teammate "{0}"?
RemoveTeammateTitle	Remove teammates
RumorNothing1	Well, it's not so bad to have a calm journey and enjoy the scenery along the way!
RumorNothing2	Well, it's not bad to have a calm journey and enjoy the scenery along the way!
RumorNothing3	Well, it's not so bad to have a calm journey and enjoy the scenery along the way!
RumorNothing4	Well, it's not bad to have a calm journey and enjoy the scenery along the way!
RumorNothing5	Well, it's not so bad to have a calm journey and enjoy the scenery along the way!
Save	Save
SaveGameMessage	Saved
SaveTypeAuto	Automatic Saving
SaveTypeFast	Quick Save
SaveTypeManual	Saved {0}
Saving	Saving
SegmentSelector	Sector
SettingGroup0	Video
SettingGroup1	Sound effects
SettingGroup2	Operation
SettingGroup3	Games
SettingGroup4	3D Vision
SkillTipAffectedSkill	Effects Moves
SkillTipApCost	Consuming Energy
SkillTipAttack	Base Damage
SkillTipBuffer	Effect
SkillTipBuffer2	Run effect
SkillTipCondition	Requirements
SkillTipIsCounter	Counterattackable
SkillTipManaCost	Consuming Internal Energy
SkillTipMultiRange	{0}-{1}
SkillTipNeedExp	Exp
SkillTipNeedInventory	Props
SkillTipNeedInventoryValue	{0}{1}pc.
SkillTipNeedSkill	Martial Arts
SkillTipNeedTalent	Talents
SkillTipNeedTypeTalentValue	{0}Talents {1}Points
SkillTipNeedWeapon	Equipment required
SkillTipNotTalent	Conflict
SkillTipSelector	Attack Range
SkillTipSelectorRange	effective distance
SkillTipSingleRange	{0}
SkillTipSkillAction	Additional Effects
SkillTipSwitchApCost	Energy Required for Switching
StoreNoItemTransaction	You have to choose the item, then we can trade.
StoreNpcDontWant	I don't need this, please choose something else.
StoreNpcFavoriteHaveMoney	I like money, and you can make up the difference with it.
StoreNpcMoneyLacking	I don't have that much money on me...
StorePlayerMoneyLacking	You don't have enough money.
StorePlayerNoFavarites	It seems you don't have anything I want on you.
StorePlayerTotalPriceLow	The value of the item you are offering is too low, I don't want to trade with you.
TalentTipBuffer	Talent Effects
TalentTipNeedPoint	Needs Talent points
TalentTipPCondition	Demand attributes
TalentTipTCondition	Talent Required
TalentType0	<size=24>Quick</size>
TalentType1	<size=24>Calm</size>
TalentType2	<size=24>Hard</size>
TalentType3	<size=24>Soft</size>
TalentType4	<size=24>Clever</size>
TalentType5	<size=24>Simple</size>
TalkAmbushNpc1	Fighting? Who's afraid of who!
TalkAmbushNpc10	I... I am defeated by a nobody.... It is impossible....
TalkAmbushNpc2	Please enlighten me!
TalkAmbushNpc3	We are all civilized people, why do we have to be so rough?
TalkAmbushNpc4	Forgive me if I refuse.
TalkAmbushNpc5	You're good, we'll see.
TalkAmbushNpc6	Your martial arts skills are very impressive, I am impressed.
TalkAmbushNpc7	Don't be flattered, it was just a moment of carelessness.
TalkAmbushNpc8	I can't believe I've lost to you by a single mistake.
TalkAmbushNpc9	You are no match for me in terms of real skill....
TalkAmbushPlayer1	I suddenly want to beat you up.
TalkAmbushPlayer2	I would like to learn a few moves from Your Excellency.
TalkAmbushPlayer3	Ha-ha, a fight is refreshing and all illnesses are gone!
TalkAmbushPlayer4	Conceded.
TalkStealNotice	What are you sneaking around for?
TeamFull	The team is full.
TipAttackFall	Damage reduced {0}% when attacking
TipAttackLossHp	When attacking lose {0} HP
TipBan	{0} Unable to start, cumulative value
TipChangeSkill	Replace Skills
TipCramped	Distance traveled per point of energy reduced by {0}%
TipDazed	At start of each round {0} % chance of being stunned
TipFinish	Escape
TipFrozen	{0} Decrease of {1} points
TipGameMenu	Game menu
TipIncreasedDamage	Damage increased by {0}% when attacked
TipOpenInventory	Open Backpack<br> Weapon Replacement consumes {0} Energy<br>Use Item consumes {1} Energy
TipRest	End Action
TipSealed	Max energy reduced to {0}
TipTurnLossAp	Energy recovery is reduced by {0} points per round
TipTurnLossHp	Lose {0} HP per round
TipTurnLossMp	Lose {0} MP per round
TipWaiting	Waiting consumes {0} points of energy
TipZero	{0} Value goes to 0
TotalPlayTime	Total playtime
Trick	Trick
TrickEffect	When using Trick move, apply a random negative status of {0} points to target
UIAchievementCanReward	(rewards available)
UIAchievementProgressTitle	Progress.
UIAchievementRewarded	(completed)
UIAchievementRewardMsg	Are you sure you want to collect your reward?
UIAchievementRewardTitle	Awards.
UIAlchemyButtonCook1	Cooking begins
UIAlchemyButtonCook2	Have it made by a master chef.
UIAlchemyButtonDrug	Alchemy begins
UIAlchemyButtonForge1	Forge Begins
UIAlchemyButtonForge2	Ask a master blacksmith to make it.
UIAlchemyButtonPoison	Poisoning begins
UIAlchemyEffectTitle1	Edible effects
UIAlchemyEffectTitle2	Effect of use
UIAlchemyEffectTitle3	Damage Effect
UIAlchemyMaterialTitle	Material requirements
UIAlchemyNoEffect	No effect
UIAlchemyNotEnough	Insufficient material
UIAlchemyTabCook	Cooking
UIAlchemyTabDrug	Alchemy
UIAlchemyTabForge	Forging
UIAlchemyTabPoison	Poison
UIAlchemyTip1	Completion
UIBattleGetInventory	Obtaining Items
UIBattleGetSkill	New skills can be learned
UIBlacksmithCosts	Forging costs.
UIBlacksmithDialog1	The cost of forging is {0} money, you do not have enough money.
UIBlacksmithFinalTitle	Forging Success
UIBlacksmithInventoryHint	Items in equipment must be unloaded into your backpack before they will appear.
UIBlacksmithTabDecompose	Dismantling
UIBlacksmithTabForge	Forge
UIBlacksmithTabQuench	Enchanting
UIBlacksmithTabReforge	Upgrading
UIBlacksmithTabRepair	Repair
UIBlacksmithTabSmelt	Melting
UICameraSetting	Camera operations
UICameraSettingFollowCursor	Perspective auto-follow mouse
UICameraSettingHorizontal	Move the perspective horizontally in reverse.
UICameraSettingSpeed	View movement speed
UICameraSettingVertical	Move view vertically opposite
UICompass	Compass
UICompassDirection1	E
UICompassDirection2	W
UICompassDirection3	S
UICompassDirection4	N
UICreateAnalyzeTitle	Under analysis....
UICreateClickToContinue	Click to continue
UICreateEnterText	Before you enter the world of He Luo, there are some questions you need to answer! Are you ready?
UICreateError1	Remaining fields not answered
UICreateIllegalName	Name contains an illegal string!
UICreateInvestigateTitle	Ignore reality and choose your deepest heart's desire.
UICreateMessage01	Redoing the questionnaire will re-analyze your attributes and give you the right results.
UICreateMessage02	Do you want to enter the world of He Luo as {0} and have an adventure?
UICreateMessage03	This name has already been used by other players!
UICreateNameText	Name
UICreateNext	Next Page
UICreateQuestNo	Questions
UICreateRandomProperty	Reroll Skill
UICreateReinvestigate	Redo questionnaire
UICreateRename	Renaming....
UICreateRenameTitle	Finally, please give yourself a ringing name in the world of martial arts.
UICreateStartGame	Start the game
UIDecompose0	Total Disassembly Amount
UIDecompose3	Disassembly
UIDecomposeDialog1	It costs {0} to dismantle all the equipment, do you want to dismantle it?
UIDecomposeDialog2	Disassembling all the equipment costs {0} money, you do not have enough money.
UIDecomposeDialog3	No equipment to dismantle is selected.
UIDecomposeResult	Obtain disassembled items
UIDelayLoading	Delayed loading of maps and characters
UIGraphicsSettingAmbientQuality	Ambient light quality
UIGraphicsSettingAntiAliasing	Anti-aliasing
UIGraphicsSettingAntiAliasingHigh	High
UIGraphicsSettingAntiAliasingLow	Low
UIGraphicsSettingAntiAliasingNone	Closed
UIGraphicsSettingBeautify	Chromatic Aberration
UIGraphicsSettingBinaryQualityHigh	High
UIGraphicsSettingBinaryQualityLow	Low
UIGraphicsSettingBloom	Highlights
UIGraphicsSettingCloudsQuality	Cloud Quality
UIGraphicsSettingCullingDistanceMultiplier	Object Visibility Distance
UIGraphicsSettingDensity	Density
UIGraphicsSettingEyeAdaptation	Light adaptation
UIGraphicsSettingFarVegetations	Distant vegetation
UIGraphicsSettingGeneral	General Settings
UIGraphicsSettingGlobalParticleEmissionRates	Particle density
UIGraphicsSettingLensDirt	Lens Glare
UIGraphicsSettingLevel	Picture Quality
UIGraphicsSettingLevelBeautiful	Quality first
UIGraphicsSettingLevelCustom	Custom
UIGraphicsSettingLevelFantastic	Full open
UIGraphicsSettingLevelFast	Fast
UIGraphicsSettingLevelFastest	Fastest
UIGraphicsSettingLevelGood	Good.
UIGraphicsSettingLevelSimple	Basic
UIGraphicsSettingOcclusion	Ambient light shading
UIGraphicsSettingPackage	Quality
UIGraphicsSettingPerspectiveCamera	Depth Camera
UIGraphicsSettingPlayerIK	Protagonist fits on the floor
UIGraphicsSettingPostProcessingSetting	Screen Effects
UIGraphicsSettingPostProcessVolume	Dynamic Blur
UIGraphicsSettingResolution	volume optical resolution
UIGraphicsSettingSaveNotice	This setting must be restarted for the game to take effect
UIGraphicsSettingScreenSpaceShadow	Shadow Enhancement
UIGraphicsSettingShadowDistance	Shadow Distance
UIGraphicsSettingShadowEnabled	Shadows
UIGraphicsSettingSkyDomeSetting	Sky
UIGraphicsSettingTreeDensity	Tree density
UIGraphicsSettingVegetationPackageHigh	High
UIGraphicsSettingVegetationPackageLow	Low
UIGraphicsSettingVegetationPackageMid	Medium
UIGraphicsSettingVegetationSetting	Vegetation
UIGraphicsSettingVisibleDistance	Visible Distance
UIGraphicsSettingVolumeLighting	Beam
UIGraphicsSettingVolumtericResolutionFull	High
UIGraphicsSettingVolumtericResolutionHalf	Medium
UIGraphicsSettingVolumtericResolutionQuarter	Low
UIGraphicsSettingVSync	Vertical Synchronization
UIHotkeyBattleGroup	Combat Shortcuts
UIHotkeyDefault	Reply preset
UIHotkeyFunctionGroup	Function keys
UIHotkeyHintExchange	button {0} is already set to {1}, do I need to change the button setting?
UIHotkeyHintFailed0	Do not allow changing mouse button configurations
UIHotkeyHintFailed1	Keys have been defined for special purposes, please set other keys.
UIHotkeyHintSuccess	Successful key replacement
UIHotkeyHintText	Please press the button you want to replace it with
UIHotkeyInputMode1	Keyboard Settings
UIHotkeyInputMode2	Gamepad Settings
UIHotkeyMsg1	Do you want to save the current key settings?
UIHotkeyMsg2	Do you want to discard the current key settings and return to the default key settings?
UIHotkeyNormalGroup	Move key/action key
UIHotkeySave	Apply
UIHotkeyTitle	Key Setting
UIHotkeyUIGroup	Interface Shortcuts
UIInventoryType101	Fists
UIInventoryType102	Swords
UIInventoryType103	Blades
UIInventoryType104	Spears
UIInventoryType105	Bows
UIInventoryType106	Shorts
UIInventoryType201	Armor
UIInventoryType202	Jewelry
UIInventoryType203	Coats
UIInventoryType301	Pills
UIInventoryType302	Herbs
UIInventoryType303	Food
UIInventoryType304	Ingredients
UIInventoryType401	Poison
UIInventoryType402	Forging Materials
UIInventoryType403	Hardening Materials
UIInventoryType404	Furs
UIInventoryType501	Fists
UIInventoryType502	Sword Art
UIInventoryType503	Blade Art
UIInventoryType504	Spear Art
UIInventoryType505	Hidden Archery
UIInventoryType506	Shorts
UIInventoryType507	Mind Art
UIInventoryType508	Other
UIInventoryType601	Quest Props
UIInventoryType602	Groceries
UIMainTabAchievement	<size=24>Achievements</size>
UIMainTabAlchemy	<size=24>Crafting</size>
UIMainTabInventory	<size=24>Items</size>
UIMainTabQuestMap	<size=24>Missions</size>
UIMainTabRest	<size=24>Rest</size>
UIMainTabSkill	<size=24>Martial Arts</size>
UIMainTabTalent	<size=24>Talents</size>
UIMinimap	Mini Map
UIModTitle	Modules
UIMouseHint	Display mouse: {0}
UINicknameConfirm	Equipment Title
UINicknameEquipping	Equipped
UINicknameNotEffect	No effect
UINicknameTitle1	Title
UINicknameTitle2	Description of title
UINicknameTitle3	Equipment Effects
UIQuenchAfterTitle	After Enchantment Effect
UIQuenchBeforeTitle	Current Enchantment
UIQuenchConfirm	Enchanting Begins
UIQuenchCosts	Enchanting costs.
UIQuenchDialog1	Enchanting costs {0} money, you do not have enough money.
UIQuenchError	There are no enchantment slot for this item
UIQuenchFinalBuff	Additional effects
UIQuenchFinalTitle	Enchanting Success
UIQuenchHoleCount1	{0}-{1}pc.
UIQuenchHoleCount2	{0}pc.
UIQuenchHoleCountTitle	Enchantment Slot
UIQuestMapCellNew	New
UIQuestMapTab0	Main Mission
UIQuestMapTab1	Sub Missions
UIQuestMapTab2	Completed Missions
UIQuestMapTab3	Failed missions
UIReforgeChangeReforge	This weapon has been re-forged, are you sure you want to discard the effect of the previous forging to get the new effect?
UIReforgeFinalTitle	Remade successfully
UIReforgeMaterialRequire	Number of requirements.
UIReforgeNoMaterials	Lack of materials needed for strengthening!
UIReforgeNoReforge	This item cannot be re-forged.
UIReforgeNotEnough	(insufficient number)
UIReforgeStart	Is it to be re-forged in a {0} fashion?
UIRepair0	Total repair amount
UIRepair1	Current possession of money
UIRepair2	Wen
UIRepair3	Repairs
UIRepair4	Repair all
UIRepairDialog1	It costs {0} to repair all the equipment, do you want to repair it?
UIRepairDialog2	It costs {0} money to repair all the equipment, you do not have enough money.
UIRepairDialog3	There is no equipment that needs to be repaired.
UIRepairWearing	Equiped
UIRestDialog	To rest {0} hours to {1}?
UIRestDialogError	Insufficient number of props available to provide rest!
UIRestDialogTitle	Rest
UIRestRestTitle	Sleep time
UIRestRestUnit	hours
UIRestTimeTitle	Current Time
UISettingAmbient	Ambient Music
UISettingBGM	Background Music
UISettingFootStep	Footstep sound effects
UISettingMapPlayerPosition	Display the character's current coordinates.
UISettingMapQuestIcon	Show task location markers
UISettingME	Sound
UISettingMsg1	Do you want to store the current {0} setting?
UISettingMsg2	Do you want to discard the current {0} setting and return to the preset setting?
UISettingSwitch	Switch
UISettingTalk	Voice of dialogue
UISettingTitle	Environmental Settings
UISettingUI	Interface
UISettingVoice	Voice
UISettingVolume	Volume
UISettingWindow	Screen Settings
UISettingWindowSize	resolution
UISettingWindowState	Screen Mode
UISettingWindowState0	Full Screen
UISettingWindowState1	Windowing
UISkillBookExp	Exp Points
UISkillBookExpert	Proficient
